employee_id,pay_rate,year
40,16,2024
214,29,2024
238,16.5,2021
697,16,2021
896,16,2021
1408,16,2024
1429,16.5,2024
1887,17,2021
2524,16.5,2022
2716,20.5,2021
2898,17.5,2021
4245,16.5,2021
4261,17,2023
4408,17.5,2024
4482,16,2024
4491,21,2022
4526,16.25,2022
4632,19,2022
4698,26.5,2021
5256,31.25,2024
5603,,2021
5977,17,2022
6042,17,2023
6307,17.5,2021
6637,19,2024
6896,16.25,2021
6989,17.5,2021
7044,14.5,2021
7062,26.5,2021
7111,17.5,2021
7139,17,2022
7195,16.25,2021
7376,20.5,2021
7804,17.25,2023
7997,17.5,2021
8450,17.5,2021
8578,25.5,2021
8863,16,2024
8920,17.5,2021
9037,23.5,2021
9184,18.5,2023
9274,23.5,2021
9424,23,2022
9863,18.5,2021
9965,16,2021
